crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2019-01-02,2019-12-30,363 days,100.0,194.4211291673535,94.42112916735351,84.94136249508948,100.0,23.963796339197817,22.71727799357809,89 days,81,81,0,0.0,34.5679012345679,23.299027788773653,-13.196962982894735,6.964335251487657,-1.9224123141371225,3 days 09:25:42.857142857,1 days 06:20:22.641509433,1.5822880172169356,1.1656929526833761,1.619030987793645,4.18776506795914,1.4657500536113652,2.7877781419417276
BTC-USD,2020-01-02,2020-12-30,364 days,100.0,212.60628527703398,112.60628527703398,312.8706048121783,100.0,21.790246604210793,28.638007317201215,174 days,93,92,1,12.74607545259775,35.869565217391305,24.63009139886361,-7.199908760487284,5.563966225449382,-1.7464131765400472,3 days 00:00:00,1 days 04:04:04.067796610,1.8445740634699141,1.085437063309089,1.9200458497420956,3.947456899130009,1.5624691566845212,3.974228530303026
BTC-USD,2021-01-02,2021-12-30,363 days,100.0,149.3369951399932,49.336995139993206,46.847611255066646,100.0,23.585093940935504,36.17399655020499,177 days,86,85,1,-0.14933699513997567,35.294117647058826,29.403803146768624,-9.740122967440305,6.536391147648398,-2.5590859003319046,3 days 02:24:00,1 days 08:43:38.181818181,1.25190339497868,0.5821921427662722,1.0538140053210372,1.3730119382327315,1.2386369866409037,1.7046039985951011
BTC-USD,2022-01-02,2022-12-30,363 days,100.0,72.3929315265621,-27.607068473437906,-64.9329195727921,100.0,14.982682384723406,43.27390079004441,276 days,83,82,1,-0.24591537312478806,35.36585365853659,17.036360875135575,-9.897487240525324,3.419006766886317,-2.3594491104240083,3 days 15:43:26.896551724,1 days 11:46:24.905660377,0.7702065411764228,-0.33367259878430633,-0.5926282853912267,-0.6409362084972959,0.8861519477911967,-0.8334075000868602
BTC-USD,2023-01-02,2023-12-30,363 days,100.0,181.76979807711484,81.76979807711486,152.61093777667676,100.0,24.26967762662732,18.1301478672115,219 days,84,84,0,0.0,36.904761904761905,21.95103052727646,-5.375739598434712,4.801179006865667,-1.5125694770747888,2 days 15:29:01.935483870,1 days 00:54:20.377358490,1.6857685980836854,0.9734499771085117,1.927237850250574,4.543219618763564,1.604464760233884,4.290962118974588
BTC-USD,2024-01-02,2024-12-30,364 days,100.0,139.02045316889385,39.02045316889385,106.06627370703912,100.0,22.63975839849399,27.67153191858016,216 days,91,91,0,0.0,34.065934065934066,26.58456016789322,-6.2260737637703905,4.859658093911704,-1.7988588828491823,3 days 06:11:36.774193548,1 days 04:00:00,1.2807633031653607,0.42879618866916225,1.1006611864718239,1.414679011882304,1.2584130747630042,1.9644379258977551
BTC-USD,2025-01-02,2025-02-23,53 days,100.0,96.80684733175872,-3.1931526682412823,-0.6326482560202185,100.0,2.1363929614423594,12.518809677451506,33 days,11,10,1,-0.40263019015669954,30.0,6.538828057185639,-3.6811432127257646,2.784675668447409,-1.5502830798872254,4 days 16:00:00,2 days 17:08:34.285714285,0.7508795810329955,-0.27905224780845594,-0.495333437474817,-1.5998308595719875,0.914871917168376,-0.7155376905797408
ETH-USD,2019-01-02,2019-12-30,363 days,100.0,86.73676256459137,-13.263237435408632,-14.456326784077167,100.0,11.750216327950431,27.40739609727013,228 days,94,94,0,0.0,27.659574468085108,23.611161396774936,-9.07137598976064,7.211959261254116,-2.109200633569867,3 days 06:27:41.538461538,1 days 06:42:21.176470588,0.8741155640695458,-0.14109827058945357,-0.14062515519714464,-0.48640923886825754,0.9653189087635609,-0.21163226113919062
ETH-USD,2020-01-02,2020-12-30,364 days,100.0,346.0376548758818,246.0376548758818,489.9206504563165,100.0,20.053398383150917,20.10267396718653,89 days,86,85,1,64.1784089341732,47.05882352941176,29.00979917316711,-8.247272721853879,6.092422490057752,-2.4407345449315896,2 days 21:00:00,1 days 03:43:59.999999999,2.2882769911312724,2.1395205404906905,2.890181761506184,12.297855943401848,1.9224768964703431,5.639591100178626
ETH-USD,2021-01-02,2021-12-30,363 days,100.0,153.55382568276656,53.55382568276655,379.4944295030872,100.0,30.253384213138425,56.99281744589001,233 days,93,92,1,-0.15355382568276355,39.130434782608695,57.79770492170163,-27.373149067803016,8.179999014432285,-3.7062071654430215,3 days 01:19:59.999999999,1 days 05:34:17.142857142,1.1429522013977014,0.5837758642222735,0.9579945404059268,0.9460332344085425,1.222794367834767,1.4393236876421232
ETH-USD,2022-01-02,2022-12-30,363 days,100.0,79.9936848793699,-20.006315120630106,-68.68488179637534,100.0,15.230657140749232,50.8352765738335,271 days,84,83,1,-0.23774285362713954,38.55421686746988,38.320440030403944,-13.60491174051542,5.824545328461431,-3.6525274022073875,3 days 07:30:00,1 days 15:03:31.764705882,0.8881380313449355,-0.23817556948196295,-0.09463206788150615,-0.395485936427217,0.9812028703548873,-0.13866506801278922
ETH-USD,2023-01-02,2023-12-30,363 days,100.0,137.90134361112894,37.90134361112895,88.70069113339105,100.0,19.53782789058467,30.686531331167522,288 days,85,85,0,0.0,32.94117647058823,21.565954757084867,-8.181125967714145,4.954135166372776,-1.787066322833837,3 days 14:34:17.142857142,1 days 04:37:53.684210526,1.31665851672899,0.4458981601309284,1.1061207723870907,1.243077328916384,1.267972202176227,1.9433420854880106
ETH-USD,2024-01-02,2024-12-30,364 days,100.0,98.82411196996976,-1.1758880300302366,42.47137625490862,100.0,19.3180845656017,40.90201241937771,296 days,93,93,0,0.0,36.55913978494624,33.76210212717159,-5.162427383838205,3.6970620127821916,-1.996702883203218,3 days 03:31:45.882352941,1 days 05:17:17.288135593,0.9904747945767036,-0.012643957312153065,0.14786473905088732,-0.02882741707645265,1.0291038634952285,0.23983696544848243
ETH-USD,2025-01-02,2025-02-23,53 days,100.0,79.71709571152596,-20.282904288474043,-18.255885447054045,100.0,2.620466862316536,26.232883893539416,50 days,15,14,1,1.5403959764099113,14.285714285714285,5.088545603761639,-8.515511565899871,3.7560634259635064,-2.605276769164987,2 days 12:00:00,1 days 10:00:00,0.2533635644802121,-1.558807161777425,-3.244824221972425,-3.011881609302366,0.5289571765398268,-3.9700967667171336
BNB-USD,2019-01-02,2019-12-30,363 days,100.0,121.54591792000737,21.54591792000737,125.37266742392102,27.208712078883114,1.4675084674849075,2.1271676613236368,62 days,76,76,0,0.0,47.368421052631575,34.09397151528075,-7.140496764436553,7.444068541327138,-1.9901403140256058,3 days 00:40:00,1 days 04:48:00,3.9811021716276462,0.2834989200000971,2.779352150588592,10.190384497700968,2.1630196952259193,6.500662695769607
BNB-USD,2020-01-02,2020-12-30,364 days,100.0,111.38517565184748,11.38517565184748,192.74788648247042,23.595547703599664,1.7344220823573264,4.156724995331808,213 days,94,94,0,0.0,38.297872340425535,34.21276359518288,-10.250938960014285,5.653735499752408,-2.5495812502236563,3 days 08:00:00,1 days 03:18:37.241379310,1.8947762339752334,0.12111888991327105,1.6091563998256502,2.746916156933492,1.4422284569545671,2.8978580544824646
BNB-USD,2021-01-02,2021-12-30,363 days,100.0,139.41246115921916,39.41246115921915,1256.9250032220036,100.0,17.130841186693356,46.42918547581361,254 days,92,92,0,0.0,44.565217391304344,96.50491797104745,-17.285096507548534,9.542650180923783,-3.8052930234395275,2 days 04:40:58.536585365,1 days 02:49:24.705882352,1.1716862096931384,0.42839631694803426,0.8192108998020506,0.8543745230212969,1.2429669887663257,1.4233293145532113
BNB-USD,2022-01-02,2022-12-30,363 days,100.0,61.64626409812085,-38.35373590187915,-53.748445253453205,100.0,11.462525359322836,54.745397226476264,362 days,90,90,0,0.0,30.0,15.280170603397854,-15.643366184026961,4.979366604910216,-2.72036578162239,3 days 18:40:00,1 days 06:28:34.285714285,0.6645189856657217,-0.4261526211319905,-0.858424001612997,-0.7035810638435982,0.8364020896662365,-1.1749835849353198
BNB-USD,2023-01-02,2023-12-30,363 days,100.0,112.27426932139038,12.274269321390378,29.173042986019702,100.0,13.574564552595438,33.56594705424183,344 days,95,94,1,-0.10938182567195873,38.297872340425535,17.307767629629794,-8.044536048005826,3.30915669059954,-1.9341786849905025,3 days 02:00:00,1 days 07:26:53.793103448,1.1510215527349583,0.13174096964959825,0.5394704334666961,0.3678105440827589,1.1245262960349995,0.9002964394105942
BNB-USD,2024-01-02,2024-12-30,364 days,100.0,134.01672703875215,34.016727038752165,125.6128423749721,100.0,19.28891071418461,23.484556052205388,207 days,88,87,1,-0.1340167270387269,41.37931034482759,21.62045181259401,-9.04502418584542,3.907074030166155,-1.973727113803004,2 days 22:40:00,1 days 04:42:21.176470588,1.2953322275366963,0.39253728466426385,0.9578275252784952,1.4530643350446115,1.247812153208401,1.7084423089361356
BNB-USD,2025-01-02,2025-02-23,53 days,100.0,98.76270498355382,-1.2372950164461827,-6.770065451531226,100.0,1.1334362807684957,7.098255521657242,25 days,12,12,0,0.0,25.0,16.559011855414244,-7.289240322356837,6.391327495687184,-2.45712225960866,5 days 16:00:00,2 days 02:40:00,0.8609904643052697,-0.10310791803718322,-0.3530143023127433,-1.1575875165897345,0.9413709308014686,-0.5221216220593806
XRP-USD,2019-01-02,2019-12-30,363 days,100.0,99.95004899792532,-0.04995100207467753,-48.17385199950499,0.4238923702699708,0.027175528609243754,0.1114360611078744,229 days,97,97,0,0.0,24.742268041237114,28.723191906258045,-9.132106699520481,5.631000495604375,-2.2420940846875204,3 days 08:00:00,1 days 05:15:36.986301369,0.811191337538742,-0.0005149587842750276,-0.4184455826351731,-0.45071716087554303,0.8717143958074556,-0.7716484671493546
XRP-USD,2020-01-02,2020-12-30,364 days,100.0,100.190121218077,0.19012121807699855,12.648700186824403,0.5675124393854801,0.01827848270591773,0.060413972003014633,170 days,90,90,0,0.0,33.33333333333333,108.89228945904009,-8.5339729098657,8.872449654558046,-2.2792246751070557,3 days 16:00:00,1 days 04:00:00,2.067776359292899,0.002112457978633315,1.221159315319909,3.155628083312869,1.6207691589214728,2.8003855109329834
XRP-USD,2021-01-02,2021-12-30,363 days,100.0,100.7084493415978,0.7084493415978048,278.8089759909485,1.8125845588305465,0.06500425245163363,0.432472952137421,260 days,84,83,1,-0.0001754502791807848,44.57831325301205,41.63764430921433,-28.64088908158256,9.11904520161275,-4.61908058989969,2 days 12:58:22.702702702,1 days 05:44:20.869565217,1.834697300407162,0.008537648094903438,1.1023691268304707,1.6471932182978368,1.4195314228900888,2.015199278383599
XRP-USD,2022-01-02,2022-12-30,363 days,100.0,99.77485944919378,-0.22514055080621148,-59.84055831128467,0.7750374289245728,0.04573056740019495,0.26965134230915305,325 days,97,96,1,-4.099390949251314e-05,25.0,43.02641698885932,-19.698570936035708,5.729278835285151,-2.6104337747673125,3 days 06:00:00,1 days 11:00:00,0.5257987553312408,-0.0023447870510074874,-1.4599608362622578,-0.8395270261222132,0.7045093678563912,-1.8935446265749765
XRP-USD,2023-01-02,2023-12-30,363 days,100.0,100.07992726011103,0.0799272601110341,78.40575758454125,0.5666403093425005,0.02445320995587771,0.0904841555173653,173 days,85,85,0,0.0,32.94117647058823,52.40056979334261,-10.245086547351628,5.5793135452850695,-2.2126362459617512,2 days 22:17:08.571428571,1 days 02:56:50.526315789,1.3656281753499586,0.0009403207071886294,0.346361665735843,0.8881975760446695,1.2245219580825117,0.9265980703815402
XRP-USD,2024-01-02,2024-12-30,364 days,100.0,101.1810304799479,1.181030479947908,229.02025858166078,2.1821890690551347,0.058385459343658186,0.15544797087188952,257 days,93,93,0,0.0,32.25806451612903,71.20505295777534,-8.99432193968474,8.654723088180399,-1.8851434386892598,2 days 20:00:00,1 days 05:20:00,3.9594715464392354,0.012699252472558157,1.8515156269412583,7.61858903645563,2.279304162505016,5.175729198155119
XRP-USD,2025-01-02,2025-02-23,53 days,100.0,100.11895759985293,0.11895759985292707,7.225272566818264,0.6585643579894058,0.0050191294993175125,0.014879824973289192,24 days,10,10,0,0.0,50.0,22.43960547218864,-6.329421193526369,8.37280967756422,-3.2144506844434075,2 days 19:12:00,1 days 04:48:00,4.5606077593015435,0.011895759985292716,3.018675535600046,55.25000030442685,3.264474848405866,15.78825980988152
ADA-USD,2019-01-02,2019-12-30,363 days,100.0,100.01338668091499,0.013386680914984978,-25.772237574381553,0.09077953655616487,0.005409257350131174,0.01684911696700193,201 days,93,93,0,0.0,29.03225806451613,20.572795759112513,-8.426702242643866,6.280204938413281,-2.7534080813344843,3 days 00:53:20,1 days 10:10:54.545454545,1.2558213290816618,0.00014394280553747276,0.43893764161677545,0.7988811355935309,1.1268838797954623,0.7722803427722283
ADA-USD,2020-01-02,2020-12-30,364 days,100.0,100.04432346656401,0.04432346656400696,461.93700072683504,0.18757402248753852,0.007890842080454414,0.03638519799799081,137 days,88,88,0,0.0,38.63636363636363,37.646848125169754,-12.855489779357782,8.555506295714395,-3.519011990383402,3 days 03:31:45.882352941,1 days 03:33:20,1.5782352121984484,0.0005036757564091704,0.9751127211165387,1.2215203937499395,1.3162377032363106,1.7767041843922637
ADA-USD,2021-01-02,2021-12-30,363 days,100.0,100.9556071367164,0.955607136716395,666.7635984444321,2.8270396238977913,0.10414732415505203,0.6125733741945878,129 days,73,72,1,-0.00014889800430295,44.44444444444444,129.89639550484435,-17.794348704943523,13.486445150345553,-3.9480506496711274,3 days 01:30:00,1 days 05:24:00,1.7583847784988058,0.013274389371120784,1.1093229102524933,1.5686241775349683,1.4003087605076734,1.7428769137118396
ADA-USD,2022-01-02,2022-12-30,363 days,100.0,99.87772424060641,-0.12227575939358659,-82.17480758067754,1.2728550075697775,0.060389249445581314,0.3812574961273926,347 days,89,88,1,-4.4824325062708504e-05,32.95454545454545,19.534774583009614,-18.650505598427934,5.001009070696892,-3.496570815223264,3 days 09:06:12.413793103,1 days 09:45:45.762711864,0.8358906378452639,-0.0013889878985059428,-0.3483372874850188,-0.32248294647564824,0.9078091166915003,-0.5439658078455976
ADA-USD,2023-01-02,2023-12-30,363 days,100.0,100.2091904318673,0.2091904318672958,137.15430241489614,0.5607600276373167,0.028100916781712892,0.08570382252635492,293 days,81,81,0,0.0,35.80246913580247,35.21344048399773,-6.947052303636692,6.9247993933806224,-2.112690353280209,3 days 16:33:06.206896551,1 days 05:32:18.461538461,2.060126826329099,0.002582597924287602,1.5227207272134802,2.454315354425924,1.5778248570690903,3.2830590105473583
