crypto,period,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ADA-USD,2022,2022-01-02,2022-12-30,363 days,100.0,99.96920389279501,-0.03079610720499232,-82.17480758067754,1.2569228641664862,0.060070938798859934,0.2827424974407625,347 days,89,88,1,-5.2833343565550806e-05,34.090909090909086,19.53477458300961,-18.650505598427934,4.914037473141746,-3.350257778487484,3 days 08:00:00,1 days 09:55:51.724137931,0.9533238561769041,-0.00034935538478893767,-0.09115292200412885,-0.10951928604200184,0.9756507125056113,-0.15261061531787895
XRP-USD,2022,2022-01-02,2022-12-30,363 days,100.0,99.80845038803885,-0.19154961196115275,-59.84055831128467,0.775121412970436,0.04601351362982179,0.24924814806057297,325 days,96,95,1,-4.4154906731077135e-05,25.263157894736842,43.02641698885932,-19.698570936035704,5.729278835285151,-2.6142148825111313,3 days 06:00:00,1 days 11:49:51.549295774,0.5858094877721969,-0.0020158469163623336,-1.2266731155065593,-0.7727398025999954,0.7499683021409386,-1.6440430119927412
DOT-USD,2022,2022-01-02,2022-12-30,363 days,100.0,90.81328111856982,-9.186718881430188,-85.4581023979557,25.169869026623022,1.160297098745843,9.508826222697119,352 days,96,95,1,0.0017485610552229786,31.57894736842105,20.87443299794363,-21.328697485743785,4.500028815793459,-3.9777305777221903,2 days 23:12:00,1 days 12:11:04.615384615,0.4226597537921523,-0.09672070992089903,-1.8001143393988768,-0.9711947392271939,0.6473311853138273,-2.2208300145046698
LUNA-USD,2022,2022-01-02,2022-05-11,130 days,100.0,99.99973529181887,-0.0002647081811359975,13151.322998854701,0.2647088818420905,0.00026470818113602415,0.0002647081811346652,1 days,1,0,1,-0.00026470818113602415,nan,nan,nan,nan,nan,NaT,NaT,nan,nan,-1.6756169931378433,-2.8076855901553137,0.0,-1.6756169931378437
AVAX-USD,2022,2022-01-02,2022-12-30,363 days,100.0,82.62684807866862,-17.37315192133139,-90.39614718933073,83.18416604312816,3.6056859561685672,22.31254342007616,317 days,85,85,0,0.0,31.76470588235294,22.758646628698276,-30.684142598742547,6.007400137092533,-4.065347949621787,3 days 15:06:40,1 days 09:55:51.724137931,0.6445185021272838,-0.20439002260389888,-0.6397711060255934,-0.7825187262225566,0.8555772893074832,-0.8574760439686662
DOGE-USD,2022,2022-01-02,2022-12-30,363 days,100.0,100.00490604913419,0.004906049134196976,-60.77819891631799,0.15792200688512625,0.007917592641668199,0.06975150238037377,269 days,95,95,0,0.0,26.31578947368421,87.05085705612603,-22.20659920755716,8.682078543985114,-3.1056743117435115,3 days 10:33:36,1 days 08:13:42.857142857,1.0477693197235778,5.1642622465231016e-05,0.0812704187390496,0.07072364330987059,1.026094542498955,0.1260497706107664
BTC-USD,2023,2023-01-02,2023-12-30,363 days,100.0,177.16971147868952,77.1697114786895,152.61093777667676,100.0,26.0753431654402,18.09321697993121,219 days,91,91,0,0.0,34.065934065934066,21.951030527276448,-5.3757395984347065,4.856258943718792,-1.3706460351455836,2 days 19:21:17.419354838,1 days 01:12:00,1.6351029539689999,0.8480188074581272,1.8550167848078023,4.2960234516745395,1.5515006670213514,4.060973686819994
ETH-USD,2023,2023-01-02,2023-12-30,363 days,100.0,138.27555215774998,38.275552157749985,88.70069113339105,100.0,19.92098081364299,30.20347379338468,288 days,86,86,0,0.0,31.3953488372093,21.565954757084867,-8.181125967714147,5.045752032711828,-1.7478750345836045,3 days 14:13:20,1 days 04:28:28.474576271,1.3162965965812738,0.4450645599738361,1.1111296298539266,1.275438434827417,1.2693602758979847,1.960196536173215
BNB-USD,2023,2023-01-02,2023-12-30,363 days,100.0,115.60771659959723,15.607716599597223,29.173042986019702,100.0,13.733052488901611,31.830699186927713,344 days,95,94,1,-0.11457909132802342,38.297872340425535,17.307767629629808,-8.044536048005826,3.3043591234542564,-1.9341786849905014,3 days 01:19:59.999999999,1 days 07:26:53.793103448,1.1942718255762474,0.1672584647970764,0.6399047502091778,0.49323871029347216,1.1498007969514956,1.086267278356589
XRP-USD,2023,2023-01-02,2023-12-30,363 days,100.0,100.03564216550528,0.03564216550527405,78.40575758454125,0.600432332014577,0.02706173685420857,0.09649433096601592,173 days,89,89,0,0.0,31.46067415730337,52.4005697933426,-10.245086547351628,5.624636153776706,-2.227677847519975,2 days 23:08:34.285714285,1 days 02:45:14.754098360,1.1458040455409195,0.00040047376972218024,0.1814788410669718,0.37140602871687045,1.0948565199069247,0.4318696638653969
ADA-USD,2023,2023-01-02,2023-12-30,363 days,100.0,100.14489621037919,0.14489621037918865,137.15430241489614,0.5775041220980278,0.03185427479914599,0.13655295286106992,295 days,85,85,0,0.0,35.294117647058826,35.21344048399773,-8.260251923775423,6.040954348215132,-2.257215573308954,3 days 09:36:00,1 days 05:14:10.909090909,1.5740259252111193,0.00170466129857869,1.0070317116753351,1.0669495959943915,1.3512072942220437,1.987378257429301
DOGE-USD,2023,2023-01-02,2023-12-30,363 days,100.0,99.98057666341892,-0.019423336581082862,26.162282800894275,0.0950184745474693,0.006372674491081697,0.028739225692119848,344 days,89,89,0,0.0,38.20224719101123,16.80719965330976,-9.174920491037183,3.629534431221351,-2.2896683551367176,3 days 05:38:49.411764705,1 days 06:06:32.727272727,0.6603465776538375,-0.00021823973686610016,-0.9057892098886454,-0.6795709100785086,0.8059933925516203,-1.2204715177878418
MATIC-USD,2023,2023-01-02,2023-12-30,363 days,100.0,100.08781951642999,0.08781951642999253,22.057310231049264,1.405531527038374,0.07913189218341882,0.3592581659357319,316 days,89,89,0,0.0,33.70786516853933,25.432468002142755,-8.879914161242185,6.987313719018194,-2.861852456307165,3 days 15:12:00,1 days 04:04:04.067796610,1.1056422631094718,0.0009867361396628336,0.2615713083569015,0.24579422948574925,1.0682249182024588,0.4321969245275882
DOT-USD,2023,2023-01-02,2023-12-30,363 days,100.0,100.83278111580657,0.832781115806574,86.45946319132437,8.019379256593313,0.5227591519845268,2.5887667988897736,338 days,91,90,1,-0.001776178504134407,33.33333333333333,23.2527197617664,-8.889708644819914,5.2750835586001354,-2.2299740947676496,3 days 07:12:00,1 days 07:36:00,1.1836059610558984,0.009272858825674545,0.38597952259329205,0.3234700783695959,1.105215582429293,0.6741695267364067
LTC-USD,2023,2023-01-02,2023-12-30,363 days,100.0,124.87847185631799,24.878471856317987,-2.0706795288548463,81.83904869496757,6.529565763019807,11.918023819976495,181 days,86,86,0,0.0,41.86046511627907,25.925038592055266,-11.392112611741734,4.365017387027578,-2.5123554683018043,3 days 06:40:00,1 days 06:14:24,1.5271697995806457,0.289284556468814,0.9835375739723681,2.1003001251882747,1.308122963035745,1.8062197908358477
SHIB-USD,2023,2023-01-02,2023-12-30,363 days,100.0,99.99999899522719,-1.0047728132903968e-06,24.9999971578291,1.272360477585237e-05,3.3991910235412617e-07,2.932881980723545e-06,318 days,34,34,0,0.0,41.17647058823529,21.999996634869724,-11.300003365130278,12.718423871981887,-1.7262504627054132,3 days 01:42:51.428571428,1 days 19:12:00,0.6763478315192794,-2.955214156736471e-08,-0.4333369156842873,-0.34447649781374173,0.813346615661175,-0.5112953296422172
BTC-USD,2024,2024-01-02,2024-12-30,364 days,100.0,138.61501704222357,38.61501704222357,106.06627370703912,100.0,23.150470813465592,27.671531918580122,216 days,92,92,0,0.0,34.78260869565217,26.58456016789323,-6.2260737637704056,4.7354715239618,-1.816680527857432,3 days 03:45:00,1 days 02:48:00,1.271635270835869,0.4197284461111248,1.0932403813483365,1.3999737740062743,1.2583584233079592,1.951587528983247
ETH-USD,2024,2024-01-02,2024-12-30,364 days,100.0,127.27501033950908,27.27501033950908,42.47137625490862,100.0,20.95350024329829,36.476499425141085,245 days,89,89,0,0.0,38.20224719101123,33.76210212717158,-5.162427383838205,4.286065310252842,-2.038802039909135,3 days 09:52:56.470588235,1 days 04:21:49.090909090,1.2048878734190842,0.3064607903315639,0.8238149925527953,0.7500546625092103,1.1729447221469136,1.4016252515315384
BNB-USD,2024,2024-01-02,2024-12-30,364 days,100.0,134.19818701565254,34.19818701565252,125.6128423749721,100.0,19.19993624464795,23.526102100936424,207 days,88,87,1,-0.13419818701564168,41.37931034482759,21.62045181259402,-9.045024185845433,3.9070740301661537,-1.9737271138030053,2 days 22:40:00,1 days 04:42:21.176470588,1.2985523234557141,0.3946251172720472,0.9619422267778888,1.458238850244049,1.2498626472939487,1.7167283101491524
XRP-USD,2024,2024-01-02,2024-12-30,364 days,100.0,101.14105345090502,1.1410534509050159,229.02025858166078,2.1287368760956293,0.05561722519738536,0.15381023951796635,312 days,92,92,0,0.0,32.608695652173914,71.20505295777535,-8.994321939684738,8.76469514582711,-1.982322684450762,2 days 21:36:00,1 days 05:48:23.225806451,3.8110219694029412,0.01240275490114148,1.8317740334378683,7.439076116582169,2.243322153621624,5.115745997493637
ADA-USD,2024,2024-01-02,2024-12-30,364 days,100.0,100.31142780411628,0.3114278041162791,41.99502509790509,0.7974812965410795,0.04095999688153569,0.15562149939351724,252 days,79,79,0,0.0,34.177215189873415,71.59897183575005,-10.277372005892351,10.68419645040544,-2.71791396210441,4 days 01:46:40,1 days 07:23:04.615384615,1.7542683395614027,0.003942124102737714,1.4568372773333005,2.0066938742118565,1.501250502009417,2.8897149025177793
DOGE-USD,2024,2024-01-02,2024-12-30,364 days,100.0,100.18858514530774,0.18858514530774456,243.75025834898122,0.3375925136049455,0.014237195318814993,0.05867445908173379,246 days,90,90,0,0.0,40.0,78.63683922320108,-8.450334494119573,9.881193226141734,-2.875743278221125,2 days 21:20:00,1 days 01:20:00,2.2851472452733135,0.002095390503419385,1.768585366462781,3.222930877974627,1.7212873062873417,3.7201751196565054
SOL-USD,2024,2024-01-02,2024-12-30,364 days,100.0,166.79794754556556,66.79794754556556,79.18193160230607,100.0,15.374556843858855,25.079307579892095,225 days,79,78,1,-0.010667257373930056,41.02564102564102,27.069224841412748,-8.636758389891268,6.388555467497092,-2.7411929729737077,3 days 10:30:00,1 days 07:18:15.652173913,1.5087941277717387,0.8565207026017891,1.4421542862792684,2.672823072191642,1.3765840094902564,2.4414054463976598
DOT-USD,2024,2024-01-02,2024-12-30,364 days,100.0,101.00063556014062,1.0006355601406218,-20.39807167858959,10.188712028833649,0.5737633060060033,2.6412465644578775,263 days,76,76,0,0.0,46.05263157894737,38.6073951992229,-5.855281716714155,5.912317105748584,-2.751531685435565,3 days 13:01:42.857142857,1 days 08:11:42.439024390,1.1808898140864603,0.013166257370271356,0.384053084231778,0.37989573495428713,1.1066020156449095,0.641155458298418
LTC-USD,2024,2024-01-02,2024-12-30,364 days,100.0,111.10440864532994,11.10440864532994,36.06970564705705,94.31872620240553,6.723315073889078,23.04131410723863,266 days,87,86,1,-0.02163076945310968,34.883720930232556,26.452827037928483,-13.187479688240325,5.401214289198339,-2.597490035267574,3 days 17:36:00,1 days 08:08:34.285714285,1.163524207182003,0.12937255133468684,0.4811799596837361,0.48332982310078476,1.1465163556055382,0.8137749050403227
AVAX-USD,2024,2024-01-02,2024-12-30,364 days,100.0,103.66237234239946,3.6623723423994683,-11.65981129054443,55.470100246038534,3.512998053999483,20.137456045201642,264 days,83,83,0,0.0,33.734939759036145,41.64625020865559,-16.32083776572419,9.606259528101415,-3.713489325967318,3 days 14:34:17.142857142,1 days 05:40:21.818181818,1.071540108418024,0.04412496798071586,0.2771823108004558,0.1823773736831944,1.071491752808367,0.42423491615667025
BTC-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,94.36455875839398,-5.635441241606017,-11.168905101955218,100.0,2.4354085719533076,16.2385469191334,41 days,12,12,0,0.0,41.66666666666667,6.538828057185639,-5.537073947781524,1.924968239514048,-2.134068246800067,4 days 14:24:00,2 days 17:08:34.285714285,0.6301190576537112,-0.46962010346716565,-0.5015012715294985,-1.8058818442537332,0.9098472845589859,-0.7151396323406146
ETH-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,66.99330929779964,-33.00669070220036,-37.83454283908275,100.0,2.309145482580438,37.25242100186132,56 days,15,15,0,0.0,13.333333333333334,2.4235812481653647,-9.24323988487705,1.814472114000771,-3.8388157717904345,6 days 00:00:00,2 days 01:50:46.153846153,0.0889177876927433,-2.2004460468133575,-2.851555310681992,-2.440110349464102,0.5881320375325324,-3.5467909332189826
BNB-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,82.88667897075806,-17.113321029241945,-18.49405777870271,100.0,1.712881176672134,19.382487252774265,45 days,14,14,0,0.0,14.285714285714285,17.07646279759689,-7.289240322356837,9.576075988670468,-2.686797347517258,8 days 00:00:00,2 days 02:00:00,0.12682045037428166,-1.2223800735172803,-3.9706684123861504,-3.4811293134719983,0.44583883461448415,-4.316992092261152
XRP-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,100.03446564985022,0.03446564985021394,-0.7334682213041788,0.4138565207503237,0.00420600815569951,0.05498624007500135,14 days,13,13,0,0.0,46.15384615384615,29.54048205265643,-6.329421193526369,9.61066960453022,-2.8390833391526082,2 days 20:00:00,1 days 13:42:51.428571428,2.1354447338652336,0.00265120383463184,0.8631727180779941,3.7537769804480687,1.3452844970844415,1.458814763645891
ADA-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,100.02015318694352,0.02015318694351026,-11.034644902720869,0.08611526222767166,0.00034334246198054416,0.020973662532945643,25 days,7,7,0,0.0,57.14285714285714,29.500201389956864,-7.081756652388058,15.584865408060761,-4.333003975040004,2 days 00:00:00,1 days 00:00:00,15.073892100825153,0.002879026706215751,1.1717747672656922,5.7524199481909015,1.87220808281277,2.346558256546881
DOGE-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,100.00119482865122,0.0011948286512201284,-41.20787905789415,0.08959183074146757,0.0009126280502780522,0.02068427517765389,45 days,14,14,0,0.0,28.57142857142857,18.37527580093165,-14.92405316084144,10.217702354720512,-6.275478348847932,5 days 12:00:00,1 days 14:24:00,1.0557894867882731,8.534490365858178e-05,0.1508927693869662,0.34565375636256507,1.0316401428855126,0.24500919227435747
SOL-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,83.44124483116555,-16.558755168834452,-31.644073638346438,96.96557507701496,0.5953045680809856,21.986602842760664,44 days,15,15,0,0.0,40.0,33.41341474887344,-20.613924650113983,7.558163519467214,-5.8887880179663705,3 days 00:00:00,1 days 10:40:00,0.3292407311133432,-1.103917011255631,-1.8487027095060262,-3.0085978178142305,0.41978973131983854,-1.9127393320467836
DOT-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,99.83113579313437,-0.1688642068656374,-37.59436609338357,1.8340519281896217,0.02006232521856913,0.3431434175562357,45 days,15,15,0,0.0,46.666666666666664,6.982442623745717,-14.095869348349346,3.32245276858612,-5.493444438646082,3 days 03:25:42.857142857,1 days 06:00:00,0.5113564919928499,-0.011257613791042499,-1.3075896758719512,-2.932228477499696,0.7003626855051515,-1.472257055066074
LTC-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,105.96564566749423,5.965645667494231,4.6246304630504165,32.04910833444078,0.3145123907205442,2.718644857791224,15 days,11,11,0,0.0,54.54545454545454,22.22793110057856,-13.947615105250968,9.217412962507018,-5.735177861773801,4 days 12:00:00,2 days 14:24:00,3.342939886723885,0.5423314243176579,2.073796333551638,15.243576215990286,1.5287347372660325,3.7047008655910623
AVAX-USD,2025_YTD,2025-01-02,2025-03-03,61 days,100.0,98.65065364811281,-1.3493463518871929,-46.63021703592945,6.749234615134283,0.07164399623421887,1.9654890685253663,56 days,14,14,0,0.0,21.428571428571427,7.3080628007212125,-16.239675218887246,4.727842654518035,-3.955757321833903,4 days 00:00:00,2 days 02:10:54.545454545,0.20376207254505685,-0.09638188227765665,-2.289033789643861,-3.9721930134251386,0.5187275839543669,-2.5054523036307454
